,episode,speaker,speech,word_count
97,ep_1,EURON," I've given her justice, an army and the Iron Fleet, yet she gives me no sign of affection. My heart is nearly broken.",23
98,ep_1,CERSEI, You're insolent. I've executed men for less.,7
99,ep_1,EURON, They were lesser men.,4
100,ep_1,DIRAH, I hear the dragon burnt up a thousand Lannister men.,10
101,ep_1,CRAYAH, Burnt up some of my favorite boys.,7
102,ep_1,DIRAH," Archie, was it?",3
103,ep_1,CRAYAH, And William.,2
104,ep_1,DIRAH, Tall handsome William?,3
105,ep_1,CRAYAH," Yeah, tall handsome William.",4
106,ep_1,DIRAH, They said what's left of him could fit in a wine glass.,12
107,ep_1,BRONN, I am the only man you ever met who shot a dragon.,12
108,ep_1,CRAYAH, Did you?,2
109,ep_1,BRONN, Nearly killed it.,3
110,ep_1,MAREI, That's brave.,2
111,ep_1,CRAYAH, That boy Eddie.,3
112,ep_1,DIRAH, The ginger?,2
113,ep_1,CRAYAH, That's him. Came back with his face burnt right off. He's got no eyelids now.,15
114,ep_1,DIRAH, How does he sleep with no eyelids?,7
115,ep_1,BRONN," All right, can we stop talking about the fucking dragons now?",11
116,ep_1,BRONN, You're kidding me.,3
117,ep_1,QYBURN," Apologies for the interruption, but the queen did urge me to hurry.",12
118,ep_1,BRONN," Sorry, ladies. Another time perhaps.",5
119,ep_1,CRAYAH, You ever get lonely; I am partial to older gentlemen.,10
120,ep_1,QYBURN, Poor girl. The pox will take her within the year.,10
121,ep_1,BRONN, Which girl?,2
122,ep_1,QYBURN, The queen's brothers made promises to you and broke them. Her Grace wants to rectify their mistake.,17
123,ep_1,BRONN," She once gave me a castle and a wife, then rectified me right out of them.",16
124,ep_1,QYBURN," That was Ser Jaime's doing, not hers. When Queen Cersei wants something, she pays in advance and in gold. Several chests of it, in fact. Waiting for you in a wagon just outside.",33
125,ep_1,BRONN," So, she wants to murder someone, but she can't send her soldiers. If it's the Dragon Queen she's after-",19
126,ep_1,QYBURN, She has other plans for the Targaryen girl.,8
127,ep_1,BRONN," Yeah, well, good luck with that.",6
128,ep_1,QYBURN, Our queen's brothers are unlikely to survive their Northern adventures. But in the event that they do-,17
129,ep_1,QYBURN, She has a keen sense of poetic justice.,8
130,ep_1,BRONN, That fucking family.,3
131,ep_1,QYBURN," When the Citadel expelled me, I thought I would die poor and alone, but in exchange for my service, Queen Cersei made me her Hand. What would she do for the man who rids her of her treasonous brothers?",39
